id,fonte,titulo,empresa,descricao,requisitos,senioridade,area,remoto,fit_percentual,url,data_coleta,origem_coleta
73,Adzuna,Auxiliar administrativo,Versa Engenharia Ambiental,"Auxiliar Administrativo Estamos em busca de um (a) Auxiliar de Administrativo para atuar nas rotinas operacionais da empresa. Atividades: Realizar atendimento telefônico e presencial. Organizar, arquivar e controlar documentos físicos e digitais. Emitir relatórios, planilhas e documentos administrativos. Auxiliar no controle de contas a pagar e receber. Efetuar lançamentos de informações em sistemas informatizados. Apoiar os setores da empresa em atividades administrativas gerais. Controlar age…",,Não identificado,Fora de Area,Não,10,https://www.adzuna.com.br/land/ad/5779252057?se=xtzOzWmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=F56C0AEF9357E7A7FCC3861C6BC0D759F7F1D310,2026-07-16,API Adzuna
74,Adzuna,Auxiliar Administrativo Financeiro,Hays," Oportunidade | Analista Administrativo Jr. (Contas a Pagar) | Av. Paulista – SP Estamos em busca de um(a) Analista Administrativo Jr. para apoiar atividades da área financeira em um projeto temporário. Principais responsabilidades: Validar notas fiscais recebidas, garantindo conformidade com os processos internos; Encaminhar documentos para processamento de pagamento; Acompanhar a integração das notas fiscais junto ao banco e tratar possíveis divergências; Atualizar controles financeiros e pla…",,Júnior,Fora de Area,Não identificado,10,https://www.adzuna.com.br/land/ad/5794370658?se=xtzOzWmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=2615365184BDD39A8D35EB040166B6BF73DF7F3C,2026-07-16,API Adzuna
75,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo,VIA SUL VEICULOS SA,"Já pensou em fazer parte de uma das melhores e maiores VIA's do Nordeste? Sobre a vaga: Estamos em busca de um(a) Auxiliar Administrativo para dar suporte operacional às rotinas da nossa empresa, organizando documentos, arquivos físicos/digitais, atendendo clientes e fornecedores, e preenchendo planilhas Principais atribuições: Manter arquivos de documentos, contratos e faturas organizados, tanto físicos quanto digitais, Receber chamadas telefônicas, e-mails e atender ao público (fornecedores/c…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5798277300?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
76,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo,OTICA STAR MIX,"Área e especialização profissional: Administração - Administração Geral Nível hierárquico: Auxiliar Local de trabalho: Carapicuíba, SP Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Execução das atividades administrativas da empresa, desenvolvendo os processos de controles e arquivamento de documentos. Elaboração e digitação de documentos. Elaboração e alimentação de planilhas de controle interno. Organização de documentos referentes a área de legalização. Dar suporte para…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5713564278?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
77,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo,Luarc,"Área e especialização profissional: Administração - Administração Geral Nível hierárquico: Operacional Local de trabalho: São Paulo, SP Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Buscamos um Assistente Administrativo, para atuar no suporte às rotinas administrativas e de logística da empresa, e contribuir para a melhoria contínua dos processos, garantindo organização, agilidade e conformidade com os procedimentos internos. Principais responsabilidades: Prestar suporte …",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5755282653?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
78,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo,Empresa com nome confidencial,"Vaga: Assistente Administrativo – E-commerce / Comercial Estamos em busca de um(a) profissional organizado(a), proativo(a) e com boa comunicação para integrar nossa equipe administrativa. Principais responsabilidades: Emissão e acompanhamento de pedidos no sistema; Emissão de notas fiscais; Cadastro e atualização de clientes, produtos e transportadoras; Elaboração e controle de relatórios gerenciais; Atendimento e suporte a clientes e representantes comerciais; Tratativa de trocas, devoluções e…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5794799539?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
79,Adzuna,Auxiliar Administrativo,AccorHotel,"Descrição da vaga Realizar os controles e processamentos pertinentes à Contas a Pagar, Contas Receber e Departamento Pessoal, com exatidão e nos prazos requeridos. • Fazer a abertura do caixa, conferindo o movimento diário de dinheiro, cartões, faturas, moedas estrangeiras, comprovantes de depósitos antecipados etc. e realizando os respectivos depósitos, diariamente. • Providenciar envio dos títulos a receber aos clientes, seguindo padrões e procedimentos preestabelecidos. • Acompanhar as carte…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5802045712?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
80,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo 1135,RHF TALENTOS MATRIZ,"O cliente (empresa de equipamentos de automação para empresas localizada no bairro Vila Izabel) valoriza e investe nas relações humanas, proporcionando um ambiente participativo, alegre e comprometido. Estamos em busca de um profissional para atuar como Auxiliar Administrativo. O candidato ideal será responsável por dar suporte nas áreas comercial e Cobranças. O profissional deverá desenvolver as seguintes funções: • Atendimento: ao cliente: Receber e direcionar ligações, fornecendo informações…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5497509520?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
81,Adzuna,Auxiliar Administrativo I - Auxiliar Administrativo,Manserv,"Descrição das Responsabilidades: Realizar atividades administrativas de apoio, prestando suporte às áreas da empresa, controlando documentos e informações, e garantindo a conformidade com as normas e procedimentos da empresa; Realizar atividades administrativas de apoio mediante a organização de documentos e informações; Controlar documentos mediante a atualização de registros e arquivamento; Preparar relatórios e planilhas mediante a coleta e análise de dados; Fornecer suporte técnico aos usuá…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5771988797?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
82,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo/Financeiro,LOK MAIS ALUGUEL DE MOTOS,"Área e especialização profissional: Administração - Administração Geral Nível hierárquico: Auxiliar Local de trabalho: Contagem, MG Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Executar as rotinas administrativas gerais da empresa, garantindo a organização dos processos; Realizar o atendimento ao público ( tanto presencial quanto por telefone), garantindo uma experiência acolhedora e eficiente; Alimentar planilhas de controle em Excell; Operar o nossos sistema próprio de…",,Não identificado,Fora de Area,Não,10,https://www.adzuna.com.br/details/5744500563?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
83,Adzuna,Auxiliar Administrativo - Auxiliar Administrativo De SAC,MZT CARGAS LTDA,"Área e especialização profissional: Telemarketing - SAC Nível hierárquico: Auxiliar Local de trabalho: Blumenau, SC Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Atividades: suporte e atendimento ao cliente no decorrer da operação, prestando as informações necessárias e garantindo que a carga chegue ao destino em conformidade, através de rastreamento e monitoramento das cargas. Contato com clientes através de ligações, e-mails e WhatsApp para resolução de problemas, obter…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5729420449?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
